pauta,link,data,editoria,freq_edi
"ENTREVISTA PADRE JOSÉ MÁRIO E JOÃO SANTANA - QUARTA, 10H",https://trello.com/c/YXkG0eEy,2024-06-13T15:03:14.785Z,Natal,1515
"ENTREVISTA PADRE JOSÉ MÁRIO E JOÃO SANTANA - QUARTA, 10H",https://trello.com/c/YXkG0eEy,2024-06-13T15:03:14.785Z,Dia,1955
EROSÃO MORRO DO CARECA - PONTA NEGRA,https://trello.com/c/yvx05z0D,2024-06-14T17:59:50.667Z,Dia,1955
EROSÃO MORRO DO CARECA - PONTA NEGRA,https://trello.com/c/yvx05z0D,2024-06-14T17:59:50.667Z,Natal,1515
FÓRUM DE RECICLAGEM,https://trello.com/c/vUHBapEO,2024-06-14T17:59:27.674Z,Dia,1955
FÓRUM DE RECICLAGEM,https://trello.com/c/vUHBapEO,2024-06-14T17:59:27.674Z,Natal,1515
TOKENIZAÇÃO - IMOBILIÁRIAS,https://trello.com/c/AHCY8pGd,2024-06-05T21:24:11.090Z,Economia,704
TOKENIZAÇÃO - IMOBILIÁRIAS,https://trello.com/c/AHCY8pGd,2024-06-05T21:24:11.090Z,Domingo,487
GERAL LAGOAS DE CAPTAÇÃO DE NATAL,https://trello.com/c/pKsIsdsP,2024-06-06T14:53:53.103Z,Dia,1955
GERAL LAGOAS DE CAPTAÇÃO DE NATAL,https://trello.com/c/pKsIsdsP,2024-06-06T14:53:53.103Z,Natal,1515
GERAL LAGOAS DE CAPTAÇÃO DE NATAL,https://trello.com/c/pKsIsdsP,2024-06-06T14:53:53.103Z,MAGNUS NASCIMENTO,46
PROGRAMA ZUNNE,https://trello.com/c/WorDo2ky,2024-06-06T14:53:51.125Z,Economia,704
PROGRAMA ZUNNE,https://trello.com/c/WorDo2ky,2024-06-06T14:53:51.125Z,Dia,1955
PROGRAMA ZUNNE,https://trello.com/c/WorDo2ky,2024-06-06T14:53:51.125Z,ALEX RÉGIS,15
CAMPANHA CANAL WHATSAPP TN,https://trello.com/c/XxqnZtIi,2024-06-05T20:59:57.412Z,Dia,1955
CAMPANHA CANAL WHATSAPP TN,https://trello.com/c/XxqnZtIi,2024-06-05T20:59:57.412Z,Natal,1515
OCUPAÇÃO HOTELEIRA NO FERIADÃO - SEXTA- FEIRA,https://trello.com/c/hmzQrlTj,2024-06-05T20:59:55.118Z,Domingo,487
OCUPAÇÃO HOTELEIRA NO FERIADÃO - SEXTA- FEIRA,https://trello.com/c/hmzQrlTj,2024-06-05T20:59:55.118Z,Economia,704
OCUPAÇÃO HOTELEIRA NO FERIADÃO - SEXTA- FEIRA,https://trello.com/c/hmzQrlTj,2024-06-05T20:59:55.118Z,MAGNUS NASCIMENTO,46
NATAL CONSTRUIRÁ ESTÁTUA DE NOSSA SENHORA DE FÁTIMA,https://trello.com/c/oBMIAqSs,2024-06-03T21:37:03.004Z,Dia,1955
NATAL CONSTRUIRÁ ESTÁTUA DE NOSSA SENHORA DE FÁTIMA,https://trello.com/c/oBMIAqSs,2024-06-03T21:37:03.004Z,Natal,1515
MERCADO DE INFLUÊNCIA,https://trello.com/c/pzh0p1d9,2024-06-03T21:37:53.521Z,Domingo,487
MERCADO DE INFLUÊNCIA,https://trello.com/c/pzh0p1d9,2024-06-03T21:37:53.521Z,Natal,1515
MERCADO DE INFLUÊNCIA,https://trello.com/c/pzh0p1d9,2024-06-03T21:37:53.521Z,ALEX RÉGIS,15
SEMANA DO MEIO AMBIENTE - DHRIVE THRU PARA RECEBIMENTO DE EQUIPAMENTOS DE USO DOMÉSTICO,https://trello.com/c/TggFixJH,2024-06-03T21:37:04.739Z,Dia,1955
SEMANA DO MEIO AMBIENTE - DHRIVE THRU PARA RECEBIMENTO DE EQUIPAMENTOS DE USO DOMÉSTICO,https://trello.com/c/TggFixJH,2024-06-03T21:37:04.739Z,Natal,1515
LANÇAMENTO DIA LIVRE DE IMPOSTO - SEGUNDA,https://trello.com/c/S3Y2D9I9,2024-05-31T13:19:37.098Z,Dia,1955
